Trial,Year,Input,DM,Means
Unfert,1957,1.51,3.79,1.87
Unfert,1958,1.39,3.48,
Unfert,1959,2.05,5.13,
Unfert,1960,2.21,5.53,
Unfert,1961,1.81,4.54,
Unfert,1962,2.04,5.09,
Unfert,1963,1.91,4.78,
Unfert,1964,1.84,4.60,
Unfert,1965,1.97,4.93,
Unfert,1966,1.73,4.32,
Unfert,1967,1.60,4.01,
Unfert,1968,1.21,3.02,
Unfert,1969,1.95,4.87,
Unfert,1970,1.55,3.88,
Unfert,1971,1.12,2.81,
Unfert,1972,1.60,4.00,
Unfert,1973,1.67,4.17,
Unfert,1974,1.37,3.43,
Unfert,1975,0.92,2.29,
Unfert,1976,1.02,2.54,
Unfert,1977,1.51,3.78,
Unfert,1978,1.52,3.80,
Unfert,1979,1.45,3.62,
Unfert,1980,1.40,3.49,
Unfert,1980,1.66,4.14,
Unfert,1981,1.37,3.42,
Unfert,1981,1.75,4.38,
Unfert,1982,1.30,3.26,
Unfert,1982,1.48,3.70,
Unfert,1983,1.18,2.95,
Unfert,1983,1.27,3.17,
Unfert,1984,1.25,3.13,
Unfert,1984,1.35,3.37,
Unfert,1985,1.55,3.89,
Unfert,1985,1.69,4.24,
Unfert,1986,2.06,5.15,
Unfert,1987,2.00,5.01,
Unfert,1988,1.75,4.38,
Unfert,1989,3.09,7.71,
Unfert,1990,2.25,5.64,
Unfert,1991,2.18,5.44,
Unfert,1992,1.73,4.33,
Unfert,1993,2.66,6.65,
Unfert,1994,2.87,7.18,
Unfert,1995,2.58,6.46,
Unfert,1996,2.35,5.88,
Unfert,1997,2.49,6.22,
Unfert,1998,2.41,6.02,
Unfert,1999,1.87,4.67,
Unfert,2000,2.31,5.78,
Unfert,2001,2.16,5.39,
Unfert,2002,2.27,5.68,
Unfert,2003,2.83,7.09,
Unfert,2004,2.66,6.65,
Unfert,2005,2.43,6.07,
Unfert,2006,3.26,8.15,
Unfert,2007,2.06,5.15,
Unfert,2008,1.54,3.85,
Unfert,2009,1.83,4.57,
Unfert,2010,2.25,5.64,
ResFert,1958,3.74,9.34,3.762882909
ResFert,1959,3.84,9.59,
ResFert,1960,3.54,8.85,
ResFert,1961,3.08,7.71,
ResFert,1962,3.15,7.88,
ResFert,1963,3.21,8.03,
ResFert,1964,2.89,7.22,
ResFert,1965,3.05,7.62,
ResFert,1966,2.65,6.63,
ResFert,1967,2.37,5.92,
ResFert,1968,1.87,4.67,
ResFert,1969,2.65,6.62,
ResFert,1970,2.40,6.01,
ResFert,1971,1.86,4.66,
ResFert,1972,2.31,5.77,
ResFert,1973,2.26,5.65,
ResFert,1974,1.88,4.70,
ResFert,1975,1.21,3.03,
ResFert,1976,1.13,2.82,
ResFert,1977,1.80,4.49,
ResFert,1978,1.99,4.97,
ResFert,1979,2.08,5.20,
ResFert,1980,3.67,9.17,
ResFert,1981,3.92,9.80,
ResFert,1982,3.88,9.70,
ResFert,1983,3.82,9.56,
ResFert,1984,3.77,9.41,
ResFert,1985,4.89,12.22,
ResFert,1986,3.99,9.97,
ResFert,1987,4.79,11.97,
ResFert,1988,4.05,10.13,
ResFert,1989,5.43,13.56,
ResFert,1990,4.78,11.94,
ResFert,1991,4.42,11.05,
ResFert,1992,4.63,11.57,
ResFert,1993,6.33,15.82,
ResFert,1994,5.48,13.71,
ResFert,1995,5.66,14.15,
ResFert,1996,5.87,14.67,
ResFert,1997,5.95,14.88,
ResFert,1998,5.19,12.99,
ResFert,1999,5.60,14.00,
ResFert,2000,5.46,13.64,
ResFert,2001,5.20,13.01,
ResFert,2002,5.28,13.20,
ResFert,2003,6.09,15.22,
HighFert,1952,4.61,11.51,4.72
HighFert,1953,4.31,10.78,
HighFert,1954,3.59,8.97,
HighFert,1955,3.96,9.91,
HighFert,1956,5.29,13.23,
HighFert,1957,5.00,12.49,
HighFert,1958,4.61,11.52,
HighFert,1959,5.01,12.54,
HighFert,1960,4.86,12.15,
HighFert,1961,4.41,11.03,
HighFert,1962,4.72,11.79,
HighFert,1963,4.92,12.30,
HighFert,1964,5.09,12.73,
HighFert,1965,5.50,13.74,
HighFert,1966,4.63,11.58,
HighFert,1967,4.86,12.16,
HighFert,1968,4.74,11.85,
HighFert,1969,4.87,12.18,
HighFert,1970,4.68,11.69,
HighFert,1971,3.91,9.76,
HighFert,1972,4.80,11.99,
HighFert,1973,4.69,11.74,
HighFert,1974,3.77,9.42,
HighFert,1975,2.74,6.86,
HighFert,1976,3.03,7.57,
HighFert,1977,3.91,9.77,
HighFert,1978,4.80,12.00,
HighFert,1979,4.70,11.75,
HighFert,1980,4.31,10.78,
HighFert,1980,4.34,10.85,
HighFert,1981,3.85,9.63,
HighFert,1981,4.19,10.47,
HighFert,1982,4.38,10.95,
HighFert,1982,4.55,11.38,
HighFert,1983,4.11,10.26,
HighFert,1983,4.19,10.47,
HighFert,1984,3.64,9.09,
HighFert,1984,3.66,9.16,
HighFert,1985,4.95,12.36,
HighFert,1985,5.08,12.69,
HighFert,1986,5.15,12.88,
HighFert,1987,4.90,12.25,
HighFert,1988,3.30,8.24,
HighFert,1989,4.94,12.35,
HighFert,1990,4.96,12.40,
HighFert,1991,4.96,12.40,
HighFert,1992,4.80,12.01,
HighFert,1993,5.19,12.98,
HighFert,1994,5.85,14.62,
HighFert,1995,5.81,14.52,
HighFert,1996,5.93,14.81,
HighFert,1997,6.06,15.15,
HighFert,1998,5.93,14.81,
HighFert,1999,5.38,13.46,
HighFert,2000,6.16,15.39,
HighFert,2001,5.35,13.36,
HighFert,2002,5.81,14.52,
HighFert,2003,6.21,15.54,
HighFert,2004,5.60,13.99,
HighFert,2005,5.40,13.51,
HighFert,2006,5.38,13.46,
HighFert,2007,4.01,10.03,
HighFert,2008,3.22,8.05,
HighFert,2009,4.36,10.90,
HighFert,2010,5.02,12.54,
Dry,1958,2.57,6.42,2.739749403
Dry,1959,1.70,4.25,
Dry,1960,1.79,4.48,
Dry,1961,3.22,8.06,
Dry,1962,2.96,7.39,
Dry,1963,2.36,5.90,
Dry,1964,1.51,3.77,
Dry,1965,2.98,7.46,
Dry,1966,3.12,7.80,
Dry,1967,3.02,7.56,
Dry,1968,2.81,7.03,
Dry,1969,1.67,4.18,
Dry,1970,3.55,8.86,
Dry,1971,1.76,4.41,
Dry,1972,1.75,4.37,
Dry,1973,1.63,4.06,
Dry,1974,3.43,8.59,
Dry,1975,3.88,9.70,
Dry,1976,2.67,6.67,
Dry,1977,1.97,4.93,
Dry,1978,2.88,7.20,
Dry,1979,4.26,10.64,
Dry,1980,2.39,5.97,
Dry,1981,2.35,5.88,
Dry,1982,0.26,0.64,
Dry,1983,2.36,5.89,
Dry,1984,3.08,7.69,
Dry,1985,3.19,7.97,
Dry,1986,3.87,9.66,
Dry,1987,3.96,9.90,
Dry,1988,0.64,1.60,
Dry,1989,3.24,8.10,
Dry,1990,2.81,7.02,
Dry,1991,2.44,6.11,
Dry,1992,2.56,6.39,
Dry,1993,3.23,8.07,
Dry,1994,3.57,8.93,
Dry,1995,4.04,10.09,
Dry,1996,3.62,9.04,
Dry,1997,3.33,8.32,
Dry,1998,2.58,6.44,
Dry,1999,2.84,7.11,
Dry,2000,3.42,8.55,
Dry,2001,2.62,6.54,
Dry,2002,3.53,8.83,
Dry,2003,2.63,6.56,
Irr10,1961,4.89,12.22,3.97900828
Irr10,1962,4.17,10.44,
Irr10,1963,4.14,10.35,
Irr10,1964,3.43,8.58,
Irr10,1965,3.99,9.97,
Irr10,1966,4.24,10.61,
Irr10,1967,4.70,11.76,
Irr10,1968,4.53,11.32,
Irr10,1969,4.12,10.29,
Irr10,1970,5.12,12.79,
Irr10,1971,4.20,10.51,
Irr10,1972,3.95,9.88,
Irr10,1973,3.46,8.65,
Irr10,1974,4.42,11.04,
Irr10,1975,3.41,8.53,
Irr10,1976,2.59,6.47,
Irr10,1977,2.54,6.36,
Irr10,1978,4.03,10.08,
Irr10,1979,5.73,14.33,
Irr10,1980,3.10,7.75,
Irr10,1981,2.33,5.83,
Irr10,1982,1.10,2.76,
Irr10,1983,2.43,6.07,
Irr10,1984,3.70,9.25,
Irr10,1985,3.84,9.60,
Irr10,1986,4.67,11.68,
Irr10,1987,4.88,12.21,
Irr10,1988,2.83,7.09,
Irr10,1989,4.14,10.36,
Irr10,1990,4.29,10.74,
Irr10,1991,4.31,10.76,
Irr10,1992,3.97,9.94,
Irr10,1993,4.38,10.96,
Irr10,1994,4.23,10.56,
Irr10,1995,4.63,11.58,
Irr10,1996,4.66,11.64,
Irr10,1997,4.18,10.44,
Irr10,1998,3.64,9.09,
Irr10,1999,4.86,12.16,
Irr10,2000,4.77,11.93,
Irr10,2001,3.63,9.06,
Irr10,2002,4.16,10.41,
Irr10,2003,4.67,11.68,
Irr20,1958,4.04,10.10,4.692862372
Irr20,1959,3.77,9.43,
Irr20,1960,3.88,9.70,
Irr20,1961,5.35,13.37,
Irr20,1962,4.69,11.72,
Irr20,1963,4.41,11.03,
Irr20,1964,4.25,10.62,
Irr20,1965,4.60,11.51,
Irr20,1966,4.86,12.14,
Irr20,1967,4.75,11.88,
Irr20,1968,4.62,11.56,
Irr20,1969,5.03,12.58,
Irr20,1970,5.55,13.86,
Irr20,1971,5.21,13.02,
Irr20,1972,4.69,11.72,
Irr20,1973,4.75,11.87,
Irr20,1974,4.78,11.96,
Irr20,1975,3.93,9.83,
Irr20,1976,3.58,8.95,
Irr20,1977,3.72,9.29,
Irr20,1978,5.15,12.87,
Irr20,1979,5.66,14.15,
Irr20,1980,3.50,8.76,
Irr20,1981,4.36,10.91,
Irr20,1982,1.92,4.80,
Irr20,1983,2.91,7.28,
Irr20,1984,4.58,11.44,
Irr20,1985,5.59,13.99,
Irr20,1986,5.29,13.23,
Irr20,1987,5.07,12.68,
Irr20,1988,4.33,10.83,
Irr20,1989,5.24,13.10,
Irr20,1990,5.63,14.09,
Irr20,1991,5.43,13.58,
Irr20,1992,4.42,11.05,
Irr20,1993,4.97,12.43,
Irr20,1994,5.59,13.96,
Irr20,1995,5.65,14.13,
Irr20,1996,5.57,13.92,
Irr20,1997,4.96,12.39,
Irr20,1998,5.22,13.04,
Irr20,1999,5.00,12.50,
Irr20,2000,5.60,13.99,
Irr20,2001,4.18,10.45,
Irr20,2002,5.04,12.61,
Irr20,2003,4.56,11.39,
