year,atm14C
1909,-10.9
1910,-11.1
1911,-11.1
1912,-11.3
1913,-11.4
1914,-11.5
1915,-11.6
1916,-11.8
1917,-12
1918,-12.1
1919,-12.3
1920,-12.7
1921,-13.2
1922,-13.7
1923,-14.2
1924,-14.7
1925,-15
1926,-15.3
1927,-15.5
1928,-15.7
1929,-16
1930,-16.2
1931,-16.5
1933,-17.1
1934,-17.4
1935,-17.8
1936,-18.3
1937,-18.8
1938,-19.3
1939,-19.8
1940,-20.3
1941,-20.8
1942,-21.3
1943,-21.8
1944,-22.3
1945,-22.7
1946,-23.1
1947,-23.5
1948,-23.9
1949,-24.3
1950,-24.8
1951,-24.8
1952,-24.9
1953,-23.9
1954,-21.1
1955,-11
1956,14.7
1957,35.9
1958,81.8
1959,141.2
1960,185.6
1961,198.7
1962,215.9
1963,330.6
1964,520.6
1965,637.3
1966,619.7
1967,585.6
1968,549.7
1969,528.5
1970,506
1971,489
1972,461.6
1973,430.9
1974,394.9
1975,378.2
1976,349.8
1977,326.7
1978,310.3
1979,291
1980,274.8
1981,257.5
1982,241.1
1983,221.5
1984,206.7
1985,197.1
1986,187.5
1987,175.5
1988,171.6
1989,157.3
1990,148.3
1991,141.2
1992,132.2
1993,127.2
1994,120.4
1995,114.9
1996,110.3
1997,105.2
1998,99.5
1999,93.6
2000,86.8
2001,81.5
2002,76.9
2003,73
2004,65.4
2005,61.7
2006,59.8
2007,56.8
2008,50.7
2009,48
2010,43.9
2011,39.3
2012,33.6
2013,30.5
2014,24.9
2015,19.2
